class,credits,displayDays,displayTime,location,occurrenceData,professor,professorRating,semester,semestersOffered,title
ACTG 210-01,3,TuTh,2:30pm - 3:45pm,Beckman Hall 214,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 870, 'endTime': 945}], 'W': [], 'Th': [{'startTime': 870, 'endTime': 945}], 'F': [], 'Sa': [], 'Su': []}}",Gregory Njoes,57,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-02,3,TuTh,1:00pm - 2:15pm,Beckman Hall 103,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 855}], 'W': [], 'Th': [{'startTime': 780, 'endTime': 855}], 'F': [], 'Sa': [], 'Su': []}}",Gregory Njoes,57,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-03,3,F,1:00pm - 3:50pm,Beckman Hall 209,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [], 'F': [{'startTime': 780, 'endTime': 950}], 'Sa': [], 'Su': []}}",TBA,,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-04,3,TuTh,2:30pm - 3:45pm,Beckman Hall 103,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 870, 'endTime': 945}], 'W': [], 'Th': [{'startTime': 870, 'endTime': 945}], 'F': [], 'Sa': [], 'Su': []}}",Praveen Sinha,,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-05,3,TuTh,5:30pm - 6:45pm,Beckman Hall Auditorium 104,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 1050, 'endTime': 1125}], 'W': [], 'Th': [{'startTime': 1050, 'endTime': 1125}], 'F': [], 'Sa': [], 'Su': []}}",Philippe Masbanji,,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-06,3,TuTh,1:00pm - 2:15pm,Beckman Hall 214,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 780, 'endTime': 855}], 'W': [], 'Th': [{'startTime': 780, 'endTime': 855}], 'F': [], 'Sa': [], 'Su': []}}",Praveen Sinha,,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-07,3,TuTh,4:00pm - 5:15pm,Beckman Hall 101,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1035}], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1035}], 'F': [], 'Sa': [], 'Su': []}}",Dawn Hill,,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 210-08,3,TuTh,5:30pm - 6:45pm,Beckman Hall 101,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 1050, 'endTime': 1125}], 'W': [], 'Th': [{'startTime': 1050, 'endTime': 1125}], 'F': [], 'Sa': [], 'Su': []}}",Dawn Hill,,spring2026,"['Spring', 'Fall']",Introduction to Financial Accounting
ACTG 211-11,3,F,1:00pm - 3:50pm,Beckman Hall 105,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [], 'F': [{'startTime': 780, 'endTime': 950}], 'Sa': [], 'Su': []}}",Douglas Johnson,93,spring2026,"['Spring', 'Fall']",Intro to Managerial Accounting
ACTG 211-01,3,MW,2:30pm - 3:45pm,Beckman Hall 210,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 870, 'endTime': 945}], 'Tu': [], 'W': [{'startTime': 870, 'endTime': 945}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Scott Anderson,77,spring2026,"['Spring', 'Fall']",Intro to Managerial Accounting
ACTG 211-02,3,MW,4:00pm - 5:15pm,Beckman Hall 210,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1035}], 'Tu': [], 'W': [{'startTime': 960, 'endTime': 1035}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Scott Anderson,77,spring2026,"['Spring', 'Fall']",Intro to Managerial Accounting
ACTG 211-03,3,TuTh,2:30pm - 3:45pm,Beckman Hall 211,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 870, 'endTime': 945}], 'W': [], 'Th': [{'startTime': 870, 'endTime': 945}], 'F': [], 'Sa': [], 'Su': []}}",Scott Anderson,77,spring2026,"['Spring', 'Fall']",Intro to Managerial Accounting
ACTG 211-04,3,TuTh,4:00pm - 5:15pm,Beckman Hall 102,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1035}], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1035}], 'F': [], 'Sa': [], 'Su': []}}",Scott Anderson,77,spring2026,"['Spring', 'Fall']",Intro to Managerial Accounting
ACTG 211-05,3,TuTh,5:30pm - 6:45pm,Beckman Hall 103,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 1050, 'endTime': 1125}], 'W': [], 'Th': [{'startTime': 1050, 'endTime': 1125}], 'F': [], 'Sa': [], 'Su': []}}",Jing Liu,55,spring2026,"['Spring', 'Fall']",Intro to Managerial Accounting
ACTG 312-01,3,MW,1:00pm - 2:15pm,Beckman Hall 210,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 780, 'endTime': 855}], 'Tu': [], 'W': [{'startTime': 780, 'endTime': 855}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Zhi Li,,spring2026,"['Spring', 'Fall']",Financial Reporting and Statement Analysis
ACTG 331-01,3,MW,2:30pm - 3:45pm,Beckman Hall 209,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 870, 'endTime': 945}], 'Tu': [], 'W': [{'startTime': 870, 'endTime': 945}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Timothy Shields,50,spring2026,['Spring'],Intermediate Financial Accounting II
ACTG 331-02,3,TuTh,4:00pm - 5:15pm,Beckman Hall 103,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1035}], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1035}], 'F': [], 'Sa': [], 'Su': []}}",Philippe Masbanji,,spring2026,['Spring'],Intermediate Financial Accounting II
ACTG 339-01,3,TuTh,10:00am - 11:15am,Beckman Computer Lab 206A,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 600, 'endTime': 675}], 'W': [], 'Th': [{'startTime': 600, 'endTime': 675}], 'F': [], 'Sa': [], 'Su': []}}",Bruce Dehning,75,spring2026,['Spring'],Accounting Information Systems
ACTG 339-02,3,TuTh,11:30am - 12:45pm,Beckman Computer Lab 206A,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 690, 'endTime': 765}], 'W': [], 'Th': [{'startTime': 690, 'endTime': 765}], 'F': [], 'Sa': [], 'Su': []}}",Bruce Dehning,75,spring2026,['Spring'],Accounting Information Systems
ACTG 441-01,3,TuTh,11:30am - 12:45pm,Beckman Hall 209,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 690, 'endTime': 765}], 'W': [], 'Th': [{'startTime': 690, 'endTime': 765}], 'F': [], 'Sa': [], 'Su': []}}",Hank Adler,72,spring2026,['Spring'],"Not-For Profit and Government Accounting, and International Accounting"
ACTG 441-02,3,TuTh,10:00am - 11:15am,Beckman Hall 209,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 600, 'endTime': 675}], 'W': [], 'Th': [{'startTime': 600, 'endTime': 675}], 'F': [], 'Sa': [], 'Su': []}}",Hank Adler,72,spring2026,['Spring'],"Not-For Profit and Government Accounting, and International Accounting"
ACTG 451-01,3,TuTh,2:30pm - 3:45pm,Beckman Hall 212,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 870, 'endTime': 945}], 'W': [], 'Th': [{'startTime': 870, 'endTime': 945}], 'F': [], 'Sa': [], 'Su': []}}",Hank Adler,72,spring2026,['Spring'],Taxation of Corporations and Other Entities
ACTG 451-03,3,TuTh,4:00pm - 5:15pm,Beckman Hall 106,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [{'startTime': 960, 'endTime': 1035}], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1035}], 'F': [], 'Sa': [], 'Su': []}}",Hank Adler,72,spring2026,['Spring'],Taxation of Corporations and Other Entities
ACTG 461-01,3,MW,2:30pm - 3:45pm,Beckman Computer Lab 206A,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 870, 'endTime': 945}], 'Tu': [], 'W': [{'startTime': 870, 'endTime': 945}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Bruce Dehning,75,spring2026,['Spring'],Accounting Analytics
ACTG 461-02,3,MW,4:00pm - 5:15pm,Beckman Computer Lab 206A,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [{'startTime': 960, 'endTime': 1035}], 'Tu': [], 'W': [{'startTime': 960, 'endTime': 1035}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Bruce Dehning,75,spring2026,['Spring'],Accounting Analytics
ACTG 541-01,3,W,7:00pm - 9:50pm,Beckman Hall 206,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [{'startTime': 1140, 'endTime': 1310}], 'Th': [], 'F': [], 'Sa': [], 'Su': []}}",Mark Engstrom,,spring2026,['Spring'],"Not-For Profit and Government Accounting, and International Accounting"
ACTG 651-01,3,Th,7:00pm - 9:50pm,Beckman Hall 103,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 1140, 'endTime': 1310}], 'F': [], 'Sa': [], 'Su': []}}",Jing Liu,55,spring2026,['Spring'],Accounting Analytics
ACTG 675-01,3,Th,4:00pm - 6:50pm,Beckman Hall 210,"{'starts': 1769155200, 'ends': 1778310000, 'daysOccurring': {'M': [], 'Tu': [], 'W': [], 'Th': [{'startTime': 960, 'endTime': 1130}], 'F': [], 'Sa': [], 'Su': []}}",Gregory Njoes,57,spring2026,['Spring'],Directed Comprehensive Studies in Accounting
